time old	time	flow (L/s)	raw (NTU)	sed (NTU)	filter 1 (NTU)	filter 2 (NTU)	filter (NTU)	coag (mg/L)	Cl (mg/L)	Temperature
3/10/2016 11:30	42439.48	17	1.99	0.94	0.1	0.16	0.13	8.27	0.77	19
3/10/2016 17:45	42439.74	16	2.02	0.62	0	0	0	7.84	1	19
3/10/2016 23:00	42439.96	16	2	0.72	0.19	0.22	0.205	9.84	1.18	19
3/11/2016 11:40	42440.49	16	2.2	0.75	0.25	0.11	0.18	9.78	1.05	19
3/11/2016 18:20	42440.76	14	2.48	0.78	0.2	0.15	0.175	10.57	0.56	20
3/12/2016 0:00	42441.00	15	2.08	0.76	0.11	0.2	0.155	6.87	1.1	19
3/12/2016 0:20	42441.01	13	2.05	0.2	0	0	0	8.96	0.98	20
3/12/2016 5:10	42441.22	15	2.36	1.72	0.94	0.86	0.9	8.01	1.05	20
3/12/2016 12:00	42441.50	15	2.1	0.51	0	0	0	5.67	1.11	20
3/12/2016 18:35	42441.77	15	2.26	0.77	0.36	0.25	0.305	6.66	1.14	20
3/13/2016 12:00	42442.50	15	1.87	0.3	0	0	0	5.84	1.1	20
3/13/2016 18:35	42442.77	14	2.06	0.72	0.15	0.13	0.14	6.07	0.88	20
3/14/2016 5:30	42443.23	14	2.16	0.78	0.13	0.15	0.14	6.9	0.98	19
3/14/2016 11:40	42443.49	16	7.45	0.62	0.03	0.09	0.06	8.09	0.82	22
3/14/2016 12:00	42443.50	14	2.09	0.52	0	0	0	6.24	1.1	20
3/14/2016 18:00	42443.75	14	1.84	0.75	0.15	0.21	0.18	6.34	1.01	20
3/14/2016 23:00	42443.96	14	1.96	0.43	0	0	0	7.06	0.9	20
3/15/2016 12:00	42444.50	17	2.01	0.5	0	0.01	0.005	9.21	0.9	20
3/15/2016 12:45	42444.53	18	4.4	1.27	0.53	0.4	0.465	8.78	1.15	19
3/15/2016 18:20	42444.76	17	2.82	0.56	0.1	0.09	0.095	9.35	0.82	20
3/16/2016 11:45	42445.49	18	2.63	0.52	0	0	0	8.22	1.15	19
3/16/2016 18:45	42445.78	16.5	2.49	0.27	0	0	0	10.77		20
3/16/2016 23:20	42445.97	18	2.51	0.75	0.05	0.03	0.04	8.63	1.05	20
3/17/2016 11:00	42446.46	17	2.24	0.9	0.3	0.27	0.285	8.94	1.18	19
3/18/2016 12:40	42447.53	17	2.62	0.94	0.5	0.36	0.43	8.27	0.62	20
3/18/2016 18:00	42447.75	17	2.22	0.57	0	0	0	7.1	1	20
3/18/2016 23:45	42447.99	16	2.2	0.57	0.04	0.09	0.065	7.17	1.1	20
3/19/2016 11:00	42448.46	17	2.51	0.8	0.18	0.2	0.19	8.27	1.1	20
3/19/2016 18:00	42448.75	17	2.44	0.56	0	0	0	8.78		20
3/20/2016 0:00	42449.00	17	2.38	0.69	0.1	0.17	0.135	8.72	1.09	20
3/20/2016 11:15	42449.47	17	2.05	0.25	0	0	0	7.96	0.9	20
3/20/2016 18:00	42449.75	16	2.28	0.77	0.19	0.22	0.205	8	1.05	22
3/20/2016 23:45	42449.99	15	2.19	0.87	0	0	0	7.87	1.1	21
3/21/2016 23:00	42450.96	16	4.77	1.1	0.37	0.32	0.345	11.24	1.15	19
3/22/2016 7:18	42451.30	15	9.25	2.64	0.79	0.81	0.8	12.82	1.23	18
3/22/2016 13:30	42451.56	16	4.53	1.96	0.64	0.48	0.56	16.18	0.9	18
3/23/2016 6:00	42452.25	15	3.75	1.22	0.34	0.37	0.355	11.84	1.15	18
3/23/2016 18:00	42452.75	15	2.85	0.77	0.1	0.22	0.16	15.72	0.1	18
3/23/2016 23:40	42452.99	15	3	0.131	0	0.13	0.065	14.24	1.15	18
3/24/2016 12:00	42453.50	15	3.01	0.51	0.09	0.05	0.07	11.05	1	18
3/24/2016 17:45	42453.74	13	3.44	2.63	1.87		1.87	8.9	0.99	18
3/25/2016 4:45	42454.20	17	2.41	0.82	0.31	0.2	0.255	9.87	1.05	
3/25/2016 12:45	42454.53	17	2.44	0.9	0.1	0	0.05	10.84	1.1	19
3/25/2016 18:30	42454.77	17	2.1	0.99	0.35	0.29	0.32	11.31	1.06	19
3/26/2016 11:00	42455.46	16	2.1	0.65	0	0	0	9.82	1.15	20
3/26/2016 18:25	42455.77	16	1.98	0.62	0	0	0	11.56	0.85	20
3/27/2016 6:00	42456.25	16	1.77	0.27	0	0	0	10.96	0.98	20
3/27/2016 12:30	42456.52	15	1.9	0.03	0	0	0	10.34	1	20
3/27/2016 23:15	42456.97	17	3.95	0.76	0.15	0.21	0.18	11.36	0.86	20
3/28/2016 12:30	42457.52	19	1.9	0.38	0	0	0	8.78	1.15	20
3/28/2016 18:35	42457.77	17	2.09	0.28	0	0	0	8.7	1.16	20
3/29/2016 0:10	42458.01	17	1.81	0.31	0	0	0	6.26	0.91	20
3/29/2016 12:00	42458.50	19	2.03	0.65	0	0	0	8.78	1.08	20
3/29/2016 18:30	42458.77	17	2.05	0.56	0.1	0.09	0.095	6.86	1.01	20
3/30/2016 5:20	42459.22	18	1.79	0.47	0	0	0	7.03	1.15	19
